��Ӱ����	��Ӱ����	��ӳʱ��	��ӳ����	
﻿秘果,http://www.manmankan.com/dy2013/201510/3706.shtml,2017年7月7日 ,爱情
﻿悟空传,http://www.manmankan.com/dy2013/201508/3037.shtml,2017年7月13日 ,大陆
﻿绣春刀・修罗战场,http://www.manmankan.com/dy2013/201509/3120.shtml,2017年8月11日 ,动作
﻿哆啦A梦:大雄的南极冰天雪地大冒险,http://www.manmankan.com/dy2013/201612/8558.shtml,2017年5月30日 ,日本
﻿极盗车神,http://www.manmankan.com/dy2013/201706/10102.shtml,2017年6月28日 ,动作
﻿蜘蛛侠:英雄归来,http://www.manmankan.com/dy2013/201508/2812.shtml,2017年7月7日 ,美国
﻿加勒比海盗5死无对证,http://www.manmankan.com/dy2013/201504/2117.shtml,2017年5月26日 ,奇幻
﻿青春逗(为青春点赞|我的青春我点赞),http://www.manmankan.com/dy2013/201507/2610.shtml,2017年6月23日 ,喜剧
﻿青春逗,http://www.manmankan.com/dy2013/201509/3312.shtml,2017年6月23日 ,喜剧
﻿热血高校之青禾男高,http://www.manmankan.com/dy2013/201605/5913.shtml,2017年7月13日 ,喜剧
﻿冰之下,http://www.manmankan.com/dy2013/201509/3455.shtml,2017年,喜剧
﻿中国推销员,http://www.manmankan.com/dy2013/201507/2707.shtml,2017年6月16日 ,剧情
﻿扶摇皇后,http://www.manmankan.com/dy2013/201603/5174.shtml,2016年,大陆
﻿变形金刚5,http://www.manmankan.com/dy2013/201706/10302.shtml,2017年6月23日 ,动作
﻿"花木兰,我在纽约等你",http://www.manmankan.com/dy2013/201606/6404.shtml,2017年8月25日 ,爱情
﻿英伦对决,http://www.manmankan.com/dy2013/201602/4956.shtml,2017年9月30日 ,香港
﻿缝纫机乐队,http://www.manmankan.com/dy2013/201701/8975.shtml,2017年9月30日 ,大陆
﻿蝴蝶公墓,http://www.manmankan.com/dy2013/201509/3075.shtml,2017年8月28日 ,惊悚
﻿曼哈顿爱情故事,http://www.manmankan.com/dy2013/201706/10298.shtml,2018年,喜剧
﻿情遇曼哈顿,http://www.manmankan.com/dy2013/201508/2767.shtml,2017年8月25日 ,大陆
﻿三生三世十里桃花,http://www.manmankan.com/dy2013/201409/1453.shtml,2017年8月4日 ,爱情
﻿"52赫兹,我爱你",http://www.manmankan.com/dy2013/201706/10108.shtml,正在热映,喜剧
﻿女人永远是对的,http://www.manmankan.com/dy2013/201705/10062.shtml,2017年6月16日 ,香港
﻿六人晚餐,http://www.manmankan.com/dy2013/201504/2025.shtml,2017年6月16日 ,大陆
﻿李雷和韩梅梅,http://www.manmankan.com/dy2013/201606/6579.shtml,2017年6月9日 ,喜剧
﻿转型团伙,http://www.manmankan.com/dy2013/201608/7267.shtml,2017年8月25日 ,香港
﻿引爆者,http://www.manmankan.com/dy2013/201612/8873.shtml,2017年8月25日 ,大陆
﻿侠盗联盟,http://www.manmankan.com/dy2013/201609/7472.shtml,2017年8月11日 ,爱情
﻿军舰岛,http://www.manmankan.com/dy2013/201603/5121.shtml,2017年7月26日 ,战争
﻿玩偶奇兵,http://www.manmankan.com/dy2013/201705/9926.shtml,还有,喜剧
﻿父子雄兵,http://www.manmankan.com/dy2013/201610/8145.shtml,2017年7月21日 ,大陆
﻿D+怪医,http://www.manmankan.com/dy2013/201705/9934.shtml,2017年4月18日 ,喜剧
﻿明月几时有,http://www.manmankan.com/dy2013/201601/4541.shtml,2017年7月1日 ,大陆
﻿美好的意外,http://www.manmankan.com/dy2013/201603/5353.shtml,2017年6月2日 ,喜剧
﻿水浒客栈,http://www.manmankan.com/dy2013/201706/10288.shtml,2017年,喜剧
﻿鼠胆英雄,http://www.manmankan.com/dy2013/201706/10286.shtml,2018年,大陆
﻿非常同伙,http://www.manmankan.com/dy2013/201510/3482.shtml,2016年,喜剧
﻿闪光少女,http://www.manmankan.com/dy2013/201606/6580.shtml,2017年7月28日 ,青春
﻿猎兽少女队,http://www.manmankan.com/dy2013/201706/10126.shtml,正在热映,喜剧
﻿芳华,http://www.manmankan.com/dy2013/201608/7380.shtml,2017年10月1日 ,大陆
﻿常在你左右,http://www.manmankan.com/dy2013/201701/9084.shtml,2017年10月31日 ,动作
﻿荡寇风云,http://www.manmankan.com/dy2013/201509/3184.shtml,2017年5月27日 ,大陆
﻿我们停战吧,http://www.manmankan.com/dy2013/201705/10061.shtml,2017年6月16日 ,香港
﻿狂兽,http://www.manmankan.com/dy2013/201603/5273.shtml,2017年9月15日 ,动作
﻿战神纪(铁木真传说),http://www.manmankan.com/dy2013/201512/4302.shtml,2017年12月22日 ,科幻
﻿我是马布里(纽约人在北京),http://www.manmankan.com/dy2013/201604/5697.shtml,2017年8月11日 ,剧情
﻿赛车总动员3:极速挑战,http://www.manmankan.com/dy2013/201509/3213.shtml,2017年6月16日 ,美国
﻿中国游记:铁面人之谜,http://www.manmankan.com/dy2013/201603/5289.shtml,2016年,惊悚
﻿疯岳撬佳人,http://www.manmankan.com/dy2013/201607/6752.shtml,2017年2月14日 ,喜剧
﻿大清极品赌仙,http://www.manmankan.com/dy2013/201706/10270.shtml,还有,喜剧
﻿十八岁给我一个姑娘,http://www.manmankan.com/dy2013/201608/7135.shtml,2017年,大陆
﻿谁是球王,http://www.manmankan.com/dy2013/201609/7507.shtml,2017年8月3日 ,大陆
﻿京城81号2,http://www.manmankan.com/dy2013/201509/3125.shtml,2017年7月6日 ,大陆
﻿深夜食堂2,http://www.manmankan.com/dy2013/201605/6071.shtml,2017年7月18日 ,喜剧
﻿二次初恋,http://www.manmankan.com/dy2013/201706/10239.shtml,2017年8月25日 ,大陆
﻿建军大业,http://www.manmankan.com/dy2013/201512/4303.shtml,2017年7月28日 ,大陆
﻿迷失Z城,http://www.manmankan.com/dy2013/201610/7999.shtml,2017年6月2日 ,美国
﻿麻辣学院,http://www.manmankan.com/dy2013/201705/9930.shtml,2017年6月9日 ,大陆
﻿有言在仙,http://www.manmankan.com/dy2013/201706/10178.shtml,2018年,喜剧
﻿十七岁的雨季,http://www.manmankan.com/dy2013/201605/6067.shtml,2016年,大陆
﻿吃吃的爱,http://www.manmankan.com/dy2013/201510/3605.shtml,2017年5月27日 ,喜剧
﻿我是你妈,http://www.manmankan.com/dy2013/201706/10162.shtml,2017年,大陆
﻿临时演员,http://www.manmankan.com/dy2013/201506/2413.shtml,2017年5月27日 ,喜剧
﻿缉枪,http://www.manmankan.com/dy2013/201603/5164.shtml,2017年6月23日 ,动作
﻿夏天十九岁的肖像,http://www.manmankan.com/dy2013/201512/4143.shtml,2017年5月27日 ,爱情
﻿龙之战,http://www.manmankan.com/dy2013/201706/10133.shtml,2017年8月4日 ,大陆
﻿大尾鲈鳗2,http://www.manmankan.com/dy2013/201601/4664.shtml,2016年2月5日 ,动作
﻿心理罪画像,http://www.manmankan.com/dy2013/201604/5775.shtml,2017年8月11日 ,犯罪
﻿欢迎来到熊仁镇,http://www.manmankan.com/dy2013/201706/10127.shtml,2018年,喜剧
﻿解忧杂货店,http://www.manmankan.com/dy2013/201510/3808.shtml,2017年,伦理
﻿仙剑问情,http://www.manmankan.com/dy2013/201706/10121.shtml,2018年,大陆
﻿神奇女侠2,http://www.manmankan.com/dy2013/201706/10118.shtml,2020年,动作
﻿见习爱神,http://www.manmankan.com/dy2013/201610/7998.shtml,2017年06月,爱情
﻿超级王爷,http://www.manmankan.com/dy2013/201703/9506.shtml,2017年4月2日 ,喜剧
﻿帕丁顿熊2,http://www.manmankan.com/dy2013/201511/3976.shtml,2018年1月12日 ,英国
﻿心理罪之城市之光,http://www.manmankan.com/dy2013/201606/6202.shtml,2017年9月30日 ,惊悚
﻿我们的少年时代,http://www.manmankan.com/dy2013/201706/10092.shtml,2018年,大陆
﻿电影名称,电影链接,上映时间,上映地区
大护法,http://www.manmankan.com/dy2013/201704/9766.shtml,还有,喜剧
﻿中国药神|印度药商(印度药神),http://www.manmankan.com/dy2013/201701/9048.shtml,2018年,喜剧
﻿与君相恋100次,http://www.manmankan.com/dy2013/201704/9854.shtml,2017年7月6日 ,日本
﻿那一场呼啸而过的青春,http://www.manmankan.com/dy2013/201702/9153.shtml,2017年8月25日 ,大陆
﻿我不做大哥好多年,http://www.manmankan.com/dy2013/201706/10134.shtml,2017年06月,动作
﻿三只小猪2,http://www.manmankan.com/dy2013/201704/9875.shtml,正在热映,喜剧
﻿第十二秒,http://www.manmankan.com/dy2013/201706/10095.shtml,2018年,大陆
﻿校花隔壁的流川枫,http://www.manmankan.com/dy2013/201705/10052.shtml,2017年5月31日 ,大陆
﻿小情书,http://www.manmankan.com/dy2013/201702/9187.shtml,2017年5月19日 ,爱情
﻿当怪物来敲门,http://www.manmankan.com/dy2013/201704/9768.shtml,2017年5月19日 ,美国
﻿泡芙小姐,http://www.manmankan.com/dy2013/201609/7597.shtml,2017年8月28日 ,喜剧
﻿新木乃伊,http://www.manmankan.com/dy2013/201511/4087.shtml,2017年6月9日 ,动作
﻿变形金刚5胜利的堕落,http://www.manmankan.com/dy2013/201507/2620.shtml,2017年6月23日 ,动作
﻿变形金刚5最后的骑士,http://www.manmankan.com/dy2013/201605/6035.shtml,2017年6月23日 ,动作
﻿原谅他77次,http://www.manmankan.com/dy2013/201608/7282.shtml,2017年6月23日 ,香港
﻿摔跤吧爸爸,http://www.manmankan.com/dy2013/201705/10001.shtml,2017年5月5日 ,喜剧
﻿神奇女侠,http://www.manmankan.com/dy2013/201508/2765.shtml,2017年6月2日 ,美国
﻿异形:契约,http://www.manmankan.com/dy2013/201602/4976.shtml,正在热映,惊悚
﻿仙球大战,http://www.manmankan.com/dy2013/201612/8736.shtml,2017年6月30日 ,大陆
﻿反转人生,http://www.manmankan.com/dy2013/201602/4771.shtml,2017年6月30日 ,大陆
﻿逆时营救(致命倒数),http://www.manmankan.com/dy2013/201512/4248.shtml,2017年6月30日 ,动作
﻿绝世高手,http://www.manmankan.com/dy2013/201610/8073.shtml,2017年7月7日 ,大陆
﻿鲛珠传,http://www.manmankan.com/dy2013/201503/1938.shtml,2017年8月11日 ,爱情
﻿秘果,http://www.manmankan.com/dy2013/201510/3706.shtml,2017年7月7日 ,爱情
﻿悟空传,http://www.manmankan.com/dy2013/201508/3037.shtml,2017年7月13日 ,大陆
﻿绣春刀・修罗战场,http://www.manmankan.com/dy2013/201509/3120.shtml,2017年8月11日 ,动作
﻿哆啦A梦:大雄的南极冰天雪地大冒险,http://www.manmankan.com/dy2013/201612/8558.shtml,2017年5月30日 ,日本
﻿极盗车神,http://www.manmankan.com/dy2013/201706/10102.shtml,2017年6月28日 ,动作
﻿蜘蛛侠:英雄归来,http://www.manmankan.com/dy2013/201508/2812.shtml,2017年7月7日 ,美国
﻿加勒比海盗5死无对证,http://www.manmankan.com/dy2013/201504/2117.shtml,2017年5月26日 ,奇幻
﻿青春逗(为青春点赞|我的青春我点赞),http://www.manmankan.com/dy2013/201507/2610.shtml,2017年6月23日 ,喜剧
﻿青春逗,http://www.manmankan.com/dy2013/201509/3312.shtml,2017年6月23日 ,喜剧
﻿热血高校之青禾男高,http://www.manmankan.com/dy2013/201605/5913.shtml,2017年7月13日 ,喜剧
﻿冰之下,http://www.manmankan.com/dy2013/201509/3455.shtml,2017年,喜剧
﻿中国推销员,http://www.manmankan.com/dy2013/201507/2707.shtml,2017年6月16日 ,剧情
﻿扶摇皇后,http://www.manmankan.com/dy2013/201603/5174.shtml,2016年,大陆
﻿变形金刚5,http://www.manmankan.com/dy2013/201706/10302.shtml,2017年6月23日 ,动作
﻿"花木兰,我在纽约等你",http://www.manmankan.com/dy2013/201606/6404.shtml,2017年8月25日 ,爱情
﻿英伦对决,http://www.manmankan.com/dy2013/201602/4956.shtml,2017年9月30日 ,香港
﻿缝纫机乐队,http://www.manmankan.com/dy2013/201701/8975.shtml,2017年9月30日 ,大陆
﻿蝴蝶公墓,http://www.manmankan.com/dy2013/201509/3075.shtml,2017年8月28日 ,惊悚
﻿曼哈顿爱情故事,http://www.manmankan.com/dy2013/201706/10298.shtml,2018年,喜剧
﻿情遇曼哈顿,http://www.manmankan.com/dy2013/201508/2767.shtml,2017年8月25日 ,大陆
﻿三生三世十里桃花,http://www.manmankan.com/dy2013/201409/1453.shtml,2017年8月4日 ,爱情
﻿"52赫兹,我爱你",http://www.manmankan.com/dy2013/201706/10108.shtml,正在热映,喜剧
﻿女人永远是对的,http://www.manmankan.com/dy2013/201705/10062.shtml,2017年6月16日 ,香港
﻿六人晚餐,http://www.manmankan.com/dy2013/201504/2025.shtml,2017年6月16日 ,大陆
﻿李雷和韩梅梅,http://www.manmankan.com/dy2013/201606/6579.shtml,2017年6月9日 ,喜剧
﻿转型团伙,http://www.manmankan.com/dy2013/201608/7267.shtml,2017年8月25日 ,香港
﻿引爆者,http://www.manmankan.com/dy2013/201612/8873.shtml,2017年8月25日 ,大陆
﻿侠盗联盟,http://www.manmankan.com/dy2013/201609/7472.shtml,2017年8月11日 ,爱情
﻿军舰岛,http://www.manmankan.com/dy2013/201603/5121.shtml,2017年7月26日 ,战争
﻿玩偶奇兵,http://www.manmankan.com/dy2013/201705/9926.shtml,还有,喜剧
﻿父子雄兵,http://www.manmankan.com/dy2013/201610/8145.shtml,2017年7月21日 ,大陆
﻿D+怪医,http://www.manmankan.com/dy2013/201705/9934.shtml,2017年4月18日 ,喜剧
﻿明月几时有,http://www.manmankan.com/dy2013/201601/4541.shtml,2017年7月1日 ,大陆
﻿美好的意外,http://www.manmankan.com/dy2013/201603/5353.shtml,2017年6月2日 ,喜剧
﻿水浒客栈,http://www.manmankan.com/dy2013/201706/10288.shtml,2017年,喜剧
﻿鼠胆英雄,http://www.manmankan.com/dy2013/201706/10286.shtml,2018年,大陆
﻿非常同伙,http://www.manmankan.com/dy2013/201510/3482.shtml,2016年,喜剧
﻿闪光少女,http://www.manmankan.com/dy2013/201606/6580.shtml,2017年7月28日 ,青春
﻿猎兽少女队,http://www.manmankan.com/dy2013/201706/10126.shtml,正在热映,喜剧
﻿芳华,http://www.manmankan.com/dy2013/201608/7380.shtml,2017年10月1日 ,大陆
﻿常在你左右,http://www.manmankan.com/dy2013/201701/9084.shtml,2017年10月31日 ,动作
﻿荡寇风云,http://www.manmankan.com/dy2013/201509/3184.shtml,2017年5月27日 ,大陆
﻿我们停战吧,http://www.manmankan.com/dy2013/201705/10061.shtml,2017年6月16日 ,香港
﻿狂兽,http://www.manmankan.com/dy2013/201603/5273.shtml,2017年9月15日 ,动作
﻿战神纪(铁木真传说),http://www.manmankan.com/dy2013/201512/4302.shtml,2017年12月22日 ,科幻
﻿我是马布里(纽约人在北京),http://www.manmankan.com/dy2013/201604/5697.shtml,2017年8月11日 ,剧情
﻿赛车总动员3:极速挑战,http://www.manmankan.com/dy2013/201509/3213.shtml,2017年6月16日 ,美国
﻿中国游记:铁面人之谜,http://www.manmankan.com/dy2013/201603/5289.shtml,2016年,惊悚
﻿疯岳撬佳人,http://www.manmankan.com/dy2013/201607/6752.shtml,2017年2月14日 ,喜剧
﻿大清极品赌仙,http://www.manmankan.com/dy2013/201706/10270.shtml,还有,喜剧
﻿十八岁给我一个姑娘,http://www.manmankan.com/dy2013/201608/7135.shtml,2017年,大陆
﻿谁是球王,http://www.manmankan.com/dy2013/201609/7507.shtml,2017年8月3日 ,大陆
﻿京城81号2,http://www.manmankan.com/dy2013/201509/3125.shtml,2017年7月6日 ,大陆
﻿深夜食堂2,http://www.manmankan.com/dy2013/201605/6071.shtml,2017年7月18日 ,喜剧
﻿二次初恋,http://www.manmankan.com/dy2013/201706/10239.shtml,2017年8月25日 ,大陆
﻿建军大业,http://www.manmankan.com/dy2013/201512/4303.shtml,2017年7月28日 ,大陆
﻿迷失Z城,http://www.manmankan.com/dy2013/201610/7999.shtml,2017年6月2日 ,美国
﻿麻辣学院,http://www.manmankan.com/dy2013/201705/9930.shtml,2017年6月9日 ,大陆
﻿有言在仙,http://www.manmankan.com/dy2013/201706/10178.shtml,2018年,喜剧
﻿十七岁的雨季,http://www.manmankan.com/dy2013/201605/6067.shtml,2016年,大陆
﻿吃吃的爱,http://www.manmankan.com/dy2013/201510/3605.shtml,2017年5月27日 ,喜剧
﻿我是你妈,http://www.manmankan.com/dy2013/201706/10162.shtml,2017年,大陆
﻿临时演员,http://www.manmankan.com/dy2013/201506/2413.shtml,2017年5月27日 ,喜剧
﻿缉枪,http://www.manmankan.com/dy2013/201603/5164.shtml,2017年6月23日 ,动作
﻿夏天十九岁的肖像,http://www.manmankan.com/dy2013/201512/4143.shtml,2017年5月27日 ,爱情
﻿龙之战,http://www.manmankan.com/dy2013/201706/10133.shtml,2017年8月4日 ,大陆
﻿大尾鲈鳗2,http://www.manmankan.com/dy2013/201601/4664.shtml,2016年2月5日 ,动作
﻿心理罪画像,http://www.manmankan.com/dy2013/201604/5775.shtml,2017年8月11日 ,犯罪
﻿欢迎来到熊仁镇,http://www.manmankan.com/dy2013/201706/10127.shtml,2018年,喜剧
﻿解忧杂货店,http://www.manmankan.com/dy2013/201510/3808.shtml,2017年,伦理
﻿仙剑问情,http://www.manmankan.com/dy2013/201706/10121.shtml,2018年,大陆
﻿神奇女侠2,http://www.manmankan.com/dy2013/201706/10118.shtml,2020年,动作
﻿见习爱神,http://www.manmankan.com/dy2013/201610/7998.shtml,2017年06月,爱情
﻿超级王爷,http://www.manmankan.com/dy2013/201703/9506.shtml,2017年4月2日 ,喜剧
﻿帕丁顿熊2,http://www.manmankan.com/dy2013/201511/3976.shtml,2018年1月12日 ,英国
﻿心理罪之城市之光,http://www.manmankan.com/dy2013/201606/6202.shtml,2017年9月30日 ,惊悚
﻿我们的少年时代,http://www.manmankan.com/dy2013/201706/10092.shtml,2018年,大陆
﻿电影名称,电影链接,上映时间,上映地区
大护法,http://www.manmankan.com/dy2013/201704/9766.shtml,还有,喜剧
﻿中国药神|印度药商(印度药神),http://www.manmankan.com/dy2013/201701/9048.shtml,2018年,喜剧
﻿与君相恋100次,http://www.manmankan.com/dy2013/201704/9854.shtml,2017年7月6日 ,日本
﻿那一场呼啸而过的青春,http://www.manmankan.com/dy2013/201702/9153.shtml,2017年8月25日 ,大陆
﻿我不做大哥好多年,http://www.manmankan.com/dy2013/201706/10134.shtml,2017年06月,动作
﻿三只小猪2,http://www.manmankan.com/dy2013/201704/9875.shtml,正在热映,喜剧
﻿第十二秒,http://www.manmankan.com/dy2013/201706/10095.shtml,2018年,大陆
﻿校花隔壁的流川枫,http://www.manmankan.com/dy2013/201705/10052.shtml,2017年5月31日 ,大陆
﻿小情书,http://www.manmankan.com/dy2013/201702/9187.shtml,2017年5月19日 ,爱情
﻿当怪物来敲门,http://www.manmankan.com/dy2013/201704/9768.shtml,2017年5月19日 ,美国
﻿泡芙小姐,http://www.manmankan.com/dy2013/201609/7597.shtml,2017年8月28日 ,喜剧
﻿新木乃伊,http://www.manmankan.com/dy2013/201511/4087.shtml,2017年6月9日 ,动作
﻿变形金刚5胜利的堕落,http://www.manmankan.com/dy2013/201507/2620.shtml,2017年6月23日 ,动作
﻿变形金刚5最后的骑士,http://www.manmankan.com/dy2013/201605/6035.shtml,2017年6月23日 ,动作
﻿原谅他77次,http://www.manmankan.com/dy2013/201608/7282.shtml,2017年6月23日 ,香港
﻿摔跤吧爸爸,http://www.manmankan.com/dy2013/201705/10001.shtml,2017年5月5日 ,喜剧
﻿神奇女侠,http://www.manmankan.com/dy2013/201508/2765.shtml,2017年6月2日 ,美国
﻿异形:契约,http://www.manmankan.com/dy2013/201602/4976.shtml,正在热映,惊悚
﻿仙球大战,http://www.manmankan.com/dy2013/201612/8736.shtml,2017年6月30日 ,大陆
﻿反转人生,http://www.manmankan.com/dy2013/201602/4771.shtml,2017年6月30日 ,大陆
﻿逆时营救(致命倒数),http://www.manmankan.com/dy2013/201512/4248.shtml,2017年6月30日 ,动作
﻿绝世高手,http://www.manmankan.com/dy2013/201610/8073.shtml,2017年7月7日 ,大陆
﻿鲛珠传,http://www.manmankan.com/dy2013/201503/1938.shtml,2017年8月11日 ,爱情
﻿秘果,http://www.manmankan.com/dy2013/201510/3706.shtml,2017年7月7日 ,爱情
﻿悟空传,http://www.manmankan.com/dy2013/201508/3037.shtml,2017年7月13日 ,大陆
﻿绣春刀・修罗战场,http://www.manmankan.com/dy2013/201509/3120.shtml,2017年8月11日 ,动作
﻿哆啦A梦:大雄的南极冰天雪地大冒险,http://www.manmankan.com/dy2013/201612/8558.shtml,2017年5月30日 ,日本
﻿极盗车神,http://www.manmankan.com/dy2013/201706/10102.shtml,2017年6月28日 ,动作
﻿蜘蛛侠:英雄归来,http://www.manmankan.com/dy2013/201508/2812.shtml,2017年7月7日 ,美国
﻿加勒比海盗5死无对证,http://www.manmankan.com/dy2013/201504/2117.shtml,2017年5月26日 ,奇幻
﻿青春逗(为青春点赞|我的青春我点赞),http://www.manmankan.com/dy2013/201507/2610.shtml,2017年6月23日 ,喜剧
﻿青春逗,http://www.manmankan.com/dy2013/201509/3312.shtml,2017年6月23日 ,喜剧
﻿热血高校之青禾男高,http://www.manmankan.com/dy2013/201605/5913.shtml,2017年7月13日 ,喜剧
﻿冰之下,http://www.manmankan.com/dy2013/201509/3455.shtml,2017年,喜剧
﻿中国推销员,http://www.manmankan.com/dy2013/201507/2707.shtml,2017年6月16日 ,剧情
﻿扶摇皇后,http://www.manmankan.com/dy2013/201603/5174.shtml,2016年,大陆
﻿变形金刚5,http://www.manmankan.com/dy2013/201706/10302.shtml,2017年6月23日 ,动作
﻿"花木兰,我在纽约等你",http://www.manmankan.com/dy2013/201606/6404.shtml,2017年8月25日 ,爱情
﻿英伦对决,http://www.manmankan.com/dy2013/201602/4956.shtml,2017年9月30日 ,香港
﻿缝纫机乐队,http://www.manmankan.com/dy2013/201701/8975.shtml,2017年9月30日 ,大陆
﻿蝴蝶公墓,http://www.manmankan.com/dy2013/201509/3075.shtml,2017年8月28日 ,惊悚
﻿曼哈顿爱情故事,http://www.manmankan.com/dy2013/201706/10298.shtml,2018年,喜剧
﻿情遇曼哈顿,http://www.manmankan.com/dy2013/201508/2767.shtml,2017年8月25日 ,大陆
﻿三生三世十里桃花,http://www.manmankan.com/dy2013/201409/1453.shtml,2017年8月4日 ,爱情
﻿"52赫兹,我爱你",http://www.manmankan.com/dy2013/201706/10108.shtml,正在热映,喜剧
﻿女人永远是对的,http://www.manmankan.com/dy2013/201705/10062.shtml,2017年6月16日 ,香港
﻿六人晚餐,http://www.manmankan.com/dy2013/201504/2025.shtml,2017年6月16日 ,大陆
﻿李雷和韩梅梅,http://www.manmankan.com/dy2013/201606/6579.shtml,2017年6月9日 ,喜剧
﻿转型团伙,http://www.manmankan.com/dy2013/201608/7267.shtml,2017年8月25日 ,香港
﻿引爆者,http://www.manmankan.com/dy2013/201612/8873.shtml,2017年8月25日 ,大陆
﻿侠盗联盟,http://www.manmankan.com/dy2013/201609/7472.shtml,2017年8月11日 ,爱情
﻿军舰岛,http://www.manmankan.com/dy2013/201603/5121.shtml,2017年7月26日 ,战争
﻿玩偶奇兵,http://www.manmankan.com/dy2013/201705/9926.shtml,还有,喜剧
﻿父子雄兵,http://www.manmankan.com/dy2013/201610/8145.shtml,2017年7月21日 ,大陆
﻿D+怪医,http://www.manmankan.com/dy2013/201705/9934.shtml,2017年4月18日 ,喜剧
﻿明月几时有,http://www.manmankan.com/dy2013/201601/4541.shtml,2017年7月1日 ,大陆
﻿美好的意外,http://www.manmankan.com/dy2013/201603/5353.shtml,2017年6月2日 ,喜剧
﻿水浒客栈,http://www.manmankan.com/dy2013/201706/10288.shtml,2017年,喜剧
﻿鼠胆英雄,http://www.manmankan.com/dy2013/201706/10286.shtml,2018年,大陆
﻿非常同伙,http://www.manmankan.com/dy2013/201510/3482.shtml,2016年,喜剧
﻿闪光少女,http://www.manmankan.com/dy2013/201606/6580.shtml,2017年7月28日 ,青春
﻿猎兽少女队,http://www.manmankan.com/dy2013/201706/10126.shtml,正在热映,喜剧
﻿芳华,http://www.manmankan.com/dy2013/201608/7380.shtml,2017年10月1日 ,大陆
﻿常在你左右,http://www.manmankan.com/dy2013/201701/9084.shtml,2017年10月31日 ,动作
﻿荡寇风云,http://www.manmankan.com/dy2013/201509/3184.shtml,2017年5月27日 ,大陆
﻿我们停战吧,http://www.manmankan.com/dy2013/201705/10061.shtml,2017年6月16日 ,香港
﻿狂兽,http://www.manmankan.com/dy2013/201603/5273.shtml,2017年9月15日 ,动作
﻿战神纪(铁木真传说),http://www.manmankan.com/dy2013/201512/4302.shtml,2017年12月22日 ,科幻
﻿我是马布里(纽约人在北京),http://www.manmankan.com/dy2013/201604/5697.shtml,2017年8月11日 ,剧情
﻿赛车总动员3:极速挑战,http://www.manmankan.com/dy2013/201509/3213.shtml,2017年6月16日 ,美国
﻿中国游记:铁面人之谜,http://www.manmankan.com/dy2013/201603/5289.shtml,2016年,惊悚
﻿疯岳撬佳人,http://www.manmankan.com/dy2013/201607/6752.shtml,2017年2月14日 ,喜剧
﻿大清极品赌仙,http://www.manmankan.com/dy2013/201706/10270.shtml,还有,喜剧
﻿十八岁给我一个姑娘,http://www.manmankan.com/dy2013/201608/7135.shtml,2017年,大陆
﻿谁是球王,http://www.manmankan.com/dy2013/201609/7507.shtml,2017年8月3日 ,大陆
﻿京城81号2,http://www.manmankan.com/dy2013/201509/3125.shtml,2017年7月6日 ,大陆
﻿深夜食堂2,http://www.manmankan.com/dy2013/201605/6071.shtml,2017年7月18日 ,喜剧
﻿二次初恋,http://www.manmankan.com/dy2013/201706/10239.shtml,2017年8月25日 ,大陆
﻿建军大业,http://www.manmankan.com/dy2013/201512/4303.shtml,2017年7月28日 ,大陆
﻿迷失Z城,http://www.manmankan.com/dy2013/201610/7999.shtml,2017年6月2日 ,美国
﻿麻辣学院,http://www.manmankan.com/dy2013/201705/9930.shtml,2017年6月9日 ,大陆
﻿有言在仙,http://www.manmankan.com/dy2013/201706/10178.shtml,2018年,喜剧
﻿十七岁的雨季,http://www.manmankan.com/dy2013/201605/6067.shtml,2016年,大陆
﻿吃吃的爱,http://www.manmankan.com/dy2013/201510/3605.shtml,2017年5月27日 ,喜剧
﻿我是你妈,http://www.manmankan.com/dy2013/201706/10162.shtml,2017年,大陆
﻿临时演员,http://www.manmankan.com/dy2013/201506/2413.shtml,2017年5月27日 ,喜剧
﻿缉枪,http://www.manmankan.com/dy2013/201603/5164.shtml,2017年6月23日 ,动作
﻿夏天十九岁的肖像,http://www.manmankan.com/dy2013/201512/4143.shtml,2017年5月27日 ,爱情
﻿龙之战,http://www.manmankan.com/dy2013/201706/10133.shtml,2017年8月4日 ,大陆
﻿大尾鲈鳗2,http://www.manmankan.com/dy2013/201601/4664.shtml,2016年2月5日 ,动作
﻿心理罪画像,http://www.manmankan.com/dy2013/201604/5775.shtml,2017年8月11日 ,犯罪
﻿欢迎来到熊仁镇,http://www.manmankan.com/dy2013/201706/10127.shtml,2018年,喜剧
﻿解忧杂货店,http://www.manmankan.com/dy2013/201510/3808.shtml,2017年,伦理
﻿仙剑问情,http://www.manmankan.com/dy2013/201706/10121.shtml,2018年,大陆
﻿神奇女侠2,http://www.manmankan.com/dy2013/201706/10118.shtml,2020年,动作
﻿见习爱神,http://www.manmankan.com/dy2013/201610/7998.shtml,2017年06月,爱情
﻿超级王爷,http://www.manmankan.com/dy2013/201703/9506.shtml,2017年4月2日 ,喜剧
﻿帕丁顿熊2,http://www.manmankan.com/dy2013/201511/3976.shtml,2018年1月12日 ,英国
﻿心理罪之城市之光,http://www.manmankan.com/dy2013/201606/6202.shtml,2017年9月30日 ,惊悚
﻿我们的少年时代,http://www.manmankan.com/dy2013/201706/10092.shtml,2018年,大陆
﻿电影名称,电影链接,上映时间,上映地区
大护法,http://www.manmankan.com/dy2013/201704/9766.shtml,还有,喜剧
